# New set of DARK+FLAT+SCIENCE exps for readnoise calib thru 2021-12-07

# NIGHT EXPID
20211204 112249
20211204 112258
20211204 112265
20211204 112272
20211204 112277
20211204 112281
20211204 112286
20211204 112298
20211204 112305

20211205 112485
20211205 112489
20211205 112496
20211205 112501
20211205 112514
20211205 112543
20211205 112463
20211205 112469
20211205 112477

20211206 112627
20211206 112633
20211206 112650
20211206 112577
20211206 112680
20211206 112586
20211206 112591
20211206 112597
