# New set of DARK+FLAT+SCIENCE exps for readnoise calib thru 2022-03-21

# NIGHT EXPID
20220317 126455
20220317 126456
20220317 126457
20220317 126458
20220317 126459
20220317 126460
20220317 126461
20220317 126462
20220317 126463
20220317 126464
20220317 126465


20220318 126606
20220318 126607
20220318 126608
20220318 126609
20220318 126610
20220318 126611
20220318 126612
20220318 126613
20220318 126614

20220319 126775
20220319 126774
20220319 126773
20220319 126772
20220319 126771
20220319 126770
20220319 126769
20220319 126768
20220319 126767



