# New set of ZERO exps for readnoise calib after video board update to b4 and b5 on 2026-01-22.
# NIGHT  EXPID

20260123 333183
20260123 333184
20260123 333185
20260123 333186
20260123 333187
20260123 333188
20260123 333189
20260123 333190
20260123 333191
20260123 333192
20260123 333193
20260123 333194
20260123 333195
20260123 333196
20260123 333197
20260123 333198
20260123 333199
20260123 333200
20260123 333201
20260123 333202
20260123 333203
20260123 333204
20260123 333205
20260123 333206
20260123 333207
20260123 333208
20260123 333209
20260123 333210
20260123 333211
20260123 333212
20260123 333213
20260123 333214
20260123 333215
20260123 333216
20260123 333217
20260123 333218
20260123 333219
20260123 333220
20260123 333221
20260123 333222
20260123 333223
20260123 333224
20260123 333225
20260123 333226
20260123 333227
20260123 333228
20260123 333229
20260123 333230
20260123 333231
20260123 333232
